ticket_id,slot_id,vehicle_type,entry_time,exit_time,total_amount
DST-16,5,lorry,,2026-03-31 21:26:23,0.43
DST-18,5,lorry,,2026-04-01 09:10:39,1.45
DST-19,5,lorry,,2026-04-01 09:11:11,0.95
DST-22,5,lorry,,2026-04-01 14:49:49,0.51
DST-23,5,lorry,,2026-04-01 16:17:54,1.38
DST-24,1,bike,,2026-04-02 12:25:37,0.50
DST-10,5,lorry,,2026-04-02 14:34:53,5377.87
DST-30,5,lorry,,2026-04-02 16:42:50,274.81
DST-31,6,lorry,2026-04-02 15:05:23,2026-04-02 16:51:54,230.79
DST-29,5,lorry,2026-04-02 14:35:50,2026-04-02 19:46:08,672.32
