ticket_id,slot_id,vehicle_type,entry_time,exit_time
DST-1,4,car,2026-03-31 20:10:00,2026-03-31 21:11:09
DST-2,5,lorry,2026-03-31 21:05:49,2026-03-31 21:14:02
DST-3,5,lorry,2026-03-31 21:06:53,2026-03-31 21:16:30
DST-4,1,bike,2026-03-31 21:07:29,2026-03-31 21:09:38
DST-5,1,bike,2026-03-31 21:09:33,2026-03-31 21:10:58
DST-6,1,bike,2026-03-31 21:09:44,
DST-7,5,lorry,2026-03-31 21:10:42,
DST-8,15,lorry,2026-03-31 21:10:53,
DST-9,1,bike,2026-03-31 21:11:04,
DST-10,5,lorry,2026-03-31 21:12:48,2026-04-02 14:34:53
DST-11,5,lorry,2026-03-31 21:13:57,
DST-12,5,lorry,2026-03-31 21:14:09,
DST-13,5,lorry,2026-03-31 21:16:36,
DST-14,5,lorry,2026-03-31 21:22:24,
DST-15,5,lorry,2026-03-31 21:23:35,
DST-16,5,lorry,2026-03-31 21:26:11,2026-03-31 21:26:23
DST-17,5,lorry,2026-03-31 21:26:29,
DST-18,5,lorry,2026-04-01 09:09:59,2026-04-01 09:10:39
DST-19,5,lorry,2026-04-01 09:10:45,2026-04-01 09:11:11
DST-20,5,lorry,2026-04-01 11:54:42,
DST-21,5,lorry,2026-04-01 12:30:35,
DST-22,5,lorry,2026-04-01 14:49:35,2026-04-01 14:49:49
DST-23,5,lorry,2026-04-01 16:17:16,2026-04-01 16:17:54
DST-24,1,bike,2026-04-02 12:25:07,2026-04-02 12:25:37
DST-25,5,lorry,2026-04-02 12:26:59,
DST-26,6,lorry,2026-04-02 12:31:00,
DST-27,1,bike,2026-04-02 12:33:24,
DST-28,2,bike,2026-04-02 14:35:45,
DST-29,5,lorry,2026-04-02 14:35:50,2026-04-02 19:46:08
DST-30,5,lorry,2026-04-02 14:36:00,2026-04-02 16:42:50
DST-31,6,lorry,2026-04-02 15:05:23,2026-04-02 16:51:54
DST-32,5,lorry,2026-04-02 19:48:41,
DST-33,1,bike,2026-04-02 19:49:46,
DST-34,6,lorry,2026-04-02 19:50:38,
DST-35,2,bike,2026-04-02 19:50:42,
DST-36,3,bike,2026-04-02 19:51:06,
DST-37,2,bike,2026-04-02 19:52:57,
DST-38,5,lorry,2026-04-02 20:01:44,
DST-39,3,bike,2026-04-02 20:01:47,
DST-40,5,lorry,2026-04-02 20:03:16,
DST-41,2,bike,2026-04-02 20:03:49,
DST-42,3,bike,2026-04-02 20:03:52,
