ticket_id,slot_id,vehicle_type,entry_time,exit_time
DST-1,4,car,2026-03-31 20:10:00,2026-03-31 21:11:09
DST-2,5,lorry,2026-03-31 21:05:49,2026-03-31 21:14:02
DST-3,5,lorry,2026-03-31 21:06:53,2026-03-31 21:16:30
DST-4,1,bike,2026-03-31 21:07:29,2026-03-31 21:09:38
DST-5,1,bike,2026-03-31 21:09:33,2026-03-31 21:10:58
DST-6,1,bike,2026-03-31 21:09:44,
DST-7,5,lorry,2026-03-31 21:10:42,
DST-8,15,lorry,2026-03-31 21:10:53,
DST-9,1,bike,2026-03-31 21:11:04,
DST-10,5,lorry,2026-03-31 21:12:48,
DST-11,5,lorry,2026-03-31 21:13:57,
DST-12,5,lorry,2026-03-31 21:14:09,
DST-13,5,lorry,2026-03-31 21:16:36,
DST-14,5,lorry,2026-03-31 21:22:24,
DST-15,5,lorry,2026-03-31 21:23:35,
DST-16,5,lorry,2026-03-31 21:26:11,2026-03-31 21:26:23
DST-17,5,lorry,2026-03-31 21:26:29,
DST-18,5,lorry,2026-04-01 09:09:59,2026-04-01 09:10:39
DST-19,5,lorry,2026-04-01 09:10:45,2026-04-01 09:11:11
DST-20,5,lorry,2026-04-01 11:54:42,
DST-21,5,lorry,2026-04-01 12:30:35,
DST-22,5,lorry,2026-04-01 14:49:35,2026-04-01 14:49:49
DST-23,5,lorry,2026-04-01 16:17:16,2026-04-01 16:17:54
